,Nationality,Birth_date,Status,Laner,Earnings
99,Indonesia,"November  7, 2002 (age 19)",Active,Roamer,"$74,901"
100,Indonesia,,Inactive,Mid Laner,"$25,339"
101,Indonesia,,Active,Jungler,"$1,357"
102,Indonesia,"September  8, 2003 (age 19)",Active,Roamer,"$30,513"
103,Indonesia,"December 13, 1997 (age 24)",Active,Roamer,"$124,202"
104,Indonesia,,Active,EXP Laner,"$1,615"
105,Indonesia,"December 30, 1998 (age 23)",Active,Mid LanerGold Laner,"$148,383"
106,Indonesia,"July 29, 2001 (age 21)",Active,Roamer,"$45,039"
107,Indonesia,"November 30, 1998 (age 23)",Inactive,Roamer,"$78,762"
108,Indonesia,,Active,Mid Laner,"$1,343"
109,Indonesia,,Active,EXP Laner,$150
110,Indonesia,"February 10, 2000 (age 22)",Active,Mid LanerRoamer,"$96,146"
111,Indonesia,,Active,Mid Laner,$118
112,Indonesia,"November 27, 2003 (age 18)",Active,Jungler,"$25,293"
113,Indonesia,,Active,Mid Laner,"$32,180"
114,Indonesia,,Active,Roamer,$221
115,Indonesia,"October  5, 1994 (age 28)",Retired,Roamer,"$21,601"
116,Indonesia,"May 31, 2000 (age 22)",Active,Jungler,"$9,750"
117,Indonesia,"November 27, 2003 (age 18)",Active,Gold Laner,"$28,325"
118,Indonesia,"July 29, 1999 (age 23)",Active,Mid Laner,"$3,367"
119,Indonesia,,Retired,EXP Laner,"$31,680"
120,Indonesia,"October  5, 2005 (age 17)",Active,Mid Laner,"$1,939"
121,Indonesia,"May 18, 1998 (age 24)",Active,EXP Laner,
122,Indonesia,"April 30, 2004 (age 18)",Active,Gold Laner,"$11,001"
123,Indonesia,"July 24, 1998 (age 24)",Retired,EXP Laner,"$55,402"
124,Indonesia,"March 27, 1999 (age 23)",Active,EXP Laner,"$35,455"
125,Indonesia,,Active,EXP Laner,"$4,861"
126,Indonesia,"November  3, 2001 (age 20)",Active,Gold LanerEXP Laner,"$1,343"
127,Indonesia,,Active,Roamer,$998
128,Indonesia,,Active,Gold Laner,"$2,514"
129,Indonesia,"February  5, 2000 (age 22)",Active,Mid LanerRoamer,"$97,610"
130,Indonesia,"December 21, 1998 (age 23)",Active,Gold Laner,"$1,110"
131,Indonesia,"August 13, 1996 (age 26)",Active,RoamerGold Laner,"$103,227"
132,Indonesia,,Active,Gold Laner,"$3,330"
133,Indonesia,"October  7, 1998 (age 24)",Active,EXP Laner,"$147,385"
134,Indonesia,"May 19, 1999 (age 23)",Inactive,Mid Laner,"$25,803"
135,Indonesia,"May  5, 2001 (age 21)",Active,Roamer,"$21,280"
136,Indonesia,"January  6, 2001 (age 21)",Active,EXP LanerRoamer,"$14,863"
137,Indonesia,,Active,Gold Laner,$563
138,Indonesia,,Active,Mid Laner,"$3,844"
